                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2997,                 5.0531,                 4.1852,                  8e-05,                0.01515,                  5e-05,                  1e-05,                 5.4025,                  4.684,                 4.2439,             0.00047066,             0.00047066,             0.00047066
                      2,                 4.9182,                 3.9277,                 3.8252,                  8e-05,                0.01515,                  5e-05,                  1e-05,                 5.4364,                 4.6872,                 4.2602,             0.00093762,             0.00093762,             0.00093762
                      3,                 4.4136,                 3.4433,                 3.5072,                0.01084,                0.09183,                0.00612,                0.00136,                 4.3712,                 43.838,                 5.8189,              0.0013951,              0.0013951,              0.0013951
                      4,                 4.1112,                 3.1253,                 3.2476,                0.01227,                0.10075,                0.00809,                0.00177,                 4.4833,                 54.032,                 4.4843,              0.0013866,              0.0013866,              0.0013866
                      5,                 3.9008,                 2.9355,                 3.0501,                0.34537,                0.08722,                0.00765,                0.00166,                 4.3168,                 20.779,                 3.1876,              0.0013866,              0.0013866,              0.0013866
                      6,                 3.7696,                  2.884,                 2.7732,                0.01707,                0.07457,                0.00903,                0.00193,                 4.4904,                 7.4357,                 2.8038,              0.0013724,              0.0013724,              0.0013724
                      7,                 3.7428,                 2.8494,                 2.5314,                0.06558,                0.16873,                0.04829,                0.01398,                 3.6094,                 3.4097,                 2.4526,              0.0013583,              0.0013583,              0.0013583
                      8,                  3.562,                 2.5913,                 2.4541,                0.26065,                0.21668,                0.15583,                 0.0507,                 3.4648,                  2.463,                 2.3483,              0.0013441,              0.0013441,              0.0013441
                      9,                 3.4197,                 2.4935,                 2.2867,                0.22168,                0.20705,                0.13864,                0.04593,                 3.1366,                 2.2729,                 2.2003,                0.00133,                0.00133,                0.00133
                     10,                 3.3081,                 2.3538,                 2.1827,                0.31025,                0.21082,                 0.2077,                0.05821,                 3.1232,                  2.152,                 2.2443,              0.0013158,              0.0013158,              0.0013158
                     11,                 3.1778,                 2.2484,                  2.118,                0.27187,                0.24189,                0.21217,                 0.0829,                 2.8637,                 2.0295,                 2.0912,              0.0013017,              0.0013017,              0.0013017
                     12,                 3.0273,                 2.1123,                 2.0027,                0.26796,                0.35441,                0.22568,                0.08607,                 2.8401,                 2.0121,                 1.9038,              0.0012875,              0.0012875,              0.0012875
                     13,                 3.0282,                  2.057,                 1.8662,                0.33266,                0.22484,                0.20631,                0.06846,                 2.9175,                 2.0002,                 1.9948,              0.0012734,              0.0012734,              0.0012734
                     14,                 2.8623,                 1.9914,                 1.8346,                 0.3524,                0.34569,                0.29445,                0.12643,                 2.6195,                 1.9301,                 1.7776,              0.0012592,              0.0012592,              0.0012592
                     15,                 2.7469,                 1.8859,                  1.744,                0.39281,                0.38066,                0.35109,                0.16128,                 2.5321,                 1.6825,                 1.7289,              0.0012451,              0.0012451,              0.0012451
                     16,                 2.6782,                 1.8265,                 1.6977,                0.36806,                0.32387,                0.34028,                0.17202,                 2.4547,                 1.7123,                 1.6388,              0.0012309,              0.0012309,              0.0012309
                     17,                 2.6045,                   1.82,                 1.6579,                0.43788,                0.38684,                 0.3734,                0.17495,                 2.4376,                 1.6388,                 1.6464,              0.0012168,              0.0012168,              0.0012168
                     18,                 2.5091,                 1.7383,                 1.6254,                0.45448,                0.47629,                0.45673,                0.22363,                 2.2756,                 1.4905,                 1.5529,              0.0012026,              0.0012026,              0.0012026
                     19,                 2.4849,                 1.7263,                 1.5721,                 0.4883,                0.49014,                0.46031,                0.22834,                 2.3245,                 1.4886,                 1.5564,              0.0011885,              0.0011885,              0.0011885
                     20,                 2.4462,                 1.6677,                 1.6139,                0.53591,                0.47162,                0.52206,                0.26476,                  2.208,                 1.4491,                 1.5093,              0.0011744,              0.0011744,              0.0011744
                     21,                  2.361,                 1.5867,                 1.5237,                0.57646,                0.46947,                0.52542,                0.24657,                 2.2639,                 1.4382,                 1.5021,              0.0011602,              0.0011602,              0.0011602
                     22,                 2.2926,                 1.5354,                 1.5087,                0.65017,                0.53563,                0.58995,                0.32134,                 2.0918,                 1.3813,                 1.4506,              0.0011461,              0.0011461,              0.0011461
                     23,                 2.2194,                 1.4899,                 1.4614,                0.79255,                0.50102,                0.62273,                0.33817,                 2.0366,                  1.299,                 1.4326,              0.0011319,              0.0011319,              0.0011319
                     24,                  2.141,                 1.3963,                 1.4292,                0.69451,                0.52223,                0.58256,                   0.33,                 1.9701,                 1.2913,                 1.3752,              0.0011178,              0.0011178,              0.0011178
                     25,                 2.1624,                 1.3902,                 1.4393,                0.73514,                0.58355,                0.64088,                0.34933,                 1.9543,                 1.2129,                  1.386,              0.0011036,              0.0011036,              0.0011036
                     26,                 2.1773,                 1.4028,                 1.4439,                0.71087,                0.59211,                0.63622,                0.33378,                 2.0064,                 1.2702,                 1.3755,              0.0010895,              0.0010895,              0.0010895
                     27,                 2.0962,                 1.3721,                 1.4517,                0.77988,                 0.5821,                0.66775,                0.36236,                 1.9062,                 1.1748,                 1.3637,              0.0010753,              0.0010753,              0.0010753
                     28,                 2.0633,                 1.3403,                 1.4074,                0.70767,                0.57885,                0.61889,                0.34241,                 1.9376,                 1.2407,                 1.3578,              0.0010612,              0.0010612,              0.0010612
                     29,                 2.0315,                 1.2752,                 1.4071,                0.83566,                0.60131,                0.68728,                0.39696,                 1.7837,                 1.1253,                 1.2944,               0.001047,               0.001047,               0.001047
                     30,                 2.0459,                  1.335,                 1.4076,                0.76337,                0.60983,                0.68028,                0.37522,                 1.8654,                 1.1527,                 1.3139,              0.0010329,              0.0010329,              0.0010329
                     31,                 2.0173,                  1.272,                 1.3691,                0.80858,                0.60922,                0.67278,                0.38593,                 1.7725,                 1.1243,                 1.2833,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.9207,                   1.24,                 1.3221,                0.81388,                0.58866,                0.68628,                 0.4026,                 1.7629,                 1.1187,                 1.2871,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.9261,                 1.2657,                 1.3634,                0.67957,                0.60671,                 0.6929,                0.39612,                 1.7042,                 1.0977,                 1.2764,             0.00099044,             0.00099044,             0.00099044
                     34,                  1.853,                  1.186,                  1.293,                0.79767,                0.62578,                0.70369,                0.39954,                 1.7177,                 1.0344,                 1.2753,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.8848,                 1.2155,                 1.3221,                0.75306,                0.61343,                0.70762,                0.41522,                 1.7158,                  1.054,                 1.2588,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.8576,                 1.1478,                 1.3135,                0.69109,                0.63614,                 0.7033,                0.41213,                 1.6709,                 1.0372,                 1.2362,               0.000948,               0.000948,               0.000948
                     37,                 1.8128,                 1.1754,                 1.3054,                0.70988,                0.64204,                0.71681,                0.41131,                 1.6705,                 1.0161,                 1.2458,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.8258,                 1.1438,                 1.2761,                 0.8599,                0.60414,                0.72121,                0.41503,                 1.6247,                0.98572,                 1.2338,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.8127,                 1.1394,                 1.2967,                 0.8355,                0.60274,                0.72056,                0.43114,                 1.6271,                 1.0048,                 1.2321,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.8081,                  1.129,                 1.2867,                0.86128,                0.62466,                0.72592,                0.41716,                 1.6469,                 1.0018,                 1.2312,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.8113,                 1.1231,                 1.2602,                0.74066,                0.69527,                0.73239,                0.43641,                  1.603,                 1.0065,                 1.2017,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.7684,                 1.1137,                  1.288,                0.94578,                0.57184,                0.72705,                0.44598,                 1.5358,                0.98066,                 1.1948,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.7134,                 1.0776,                 1.2552,                0.85382,                0.63766,                0.73647,                0.46065,                 1.5374,                0.93095,                 1.1894,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.7129,                 1.0511,                 1.2406,                0.85461,                0.66355,                 0.7424,                0.44487,                 1.5668,                0.91952,                 1.1934,             0.00083482,             0.00083482,             0.00083482
                     45,                    1.7,                 1.0437,                 1.2521,                0.83299,                0.64882,                0.73364,                0.45329,                 1.5103,                 0.9224,                 1.1723,             0.00082067,             0.00082067,             0.00082067
                     46,                  1.714,                 1.0588,                 1.2708,                0.79809,                0.69176,                0.73526,                 0.4501,                 1.5232,                 0.9318,                 1.1626,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.6548,                 1.0137,                 1.2158,                0.79927,                0.67962,                0.74323,                0.43784,                 1.5295,                0.92895,                 1.1875,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.6626,                 1.0303,                 1.2282,                0.86393,                0.65806,                0.74806,                0.45884,                 1.5152,                0.90005,                 1.1753,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.6765,                 1.0216,                 1.2359,                0.84766,                0.67134,                0.74441,                0.45818,                 1.5049,                0.90854,                 1.1612,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.6968,                 1.0265,                 1.2379,                0.85661,                  0.682,                0.75191,                0.45398,                 1.5198,                0.89078,                 1.1626,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.6952,                 1.0533,                  1.236,                0.86998,                0.64917,                0.75082,                0.45708,                 1.5332,                  0.912,                 1.1642,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.6448,                 1.0251,                 1.2218,                0.78962,                0.66859,                0.75289,                0.47309,                 1.4798,                  0.899,                 1.1456,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.6106,                0.99035,                 1.1964,                0.88642,                0.66256,                0.75774,                0.47117,                 1.4528,                0.88645,                  1.144,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.6018,                0.99106,                 1.1953,                0.86432,                 0.6481,                0.74429,                 0.4667,                 1.4982,                0.87081,                 1.1501,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.5887,                0.98099,                 1.1855,                0.83915,                0.69835,                0.76039,                0.48738,                 1.4357,                0.87133,                 1.1373,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.5904,                0.96297,                 1.1621,                0.87504,                0.68511,                0.76155,                0.47897,                 1.4481,                0.87165,                 1.1408,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.5541,                0.95568,                 1.1835,                0.91683,                0.66441,                0.76198,                0.48956,                 1.4054,                0.84452,                 1.1253,             0.00065091,             0.00065091,             0.00065091
                     58,                  1.571,                0.95907,                 1.1858,                0.84572,                0.68339,                0.75686,                 0.4847,                 1.4629,                 0.8568,                 1.1412,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.5728,                0.94853,                 1.1771,                0.89105,                0.66702,                0.76086,                0.48414,                 1.4133,                0.82983,                 1.1228,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.5644,                0.95804,                 1.2011,                0.89121,                0.69015,                0.76549,                0.48453,                 1.4044,                0.85525,                 1.1238,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.5501,                0.95677,                 1.1725,                0.88155,                0.68772,                0.76515,                0.47647,                 1.4359,                 0.8486,                 1.1269,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.5632,                0.96589,                 1.1895,                 0.8351,                0.69842,                0.76078,                0.49796,                 1.4059,                0.86171,                 1.1139,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.5324,                0.91577,                 1.1617,                0.87616,                0.69083,                0.76797,                0.47159,                 1.3998,                0.82635,                 1.1273,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.5279,                0.91274,                 1.1418,                0.89794,                0.67209,                0.76641,                0.48684,                 1.3845,                0.80632,                  1.112,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.5261,                0.94361,                 1.1904,                0.86574,                 0.6931,                0.76041,                0.48671,                 1.4071,                0.83675,                 1.1175,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.5255,                 0.9168,                 1.1554,                0.86376,                  0.714,                0.76981,                0.49618,                 1.3691,                 0.8386,                 1.1022,             0.00052359,             0.00052359,             0.00052359
                     67,                    1.5,                0.91077,                 1.1469,                0.87021,                0.70272,                0.76656,                0.49569,                  1.364,                0.81231,                 1.1068,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.5322,                0.91541,                 1.1686,                0.86236,                0.70077,                0.77164,                0.49987,                 1.3852,                 0.8026,                  1.105,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.4981,                0.89458,                 1.1348,                0.89749,                0.69738,                0.77728,                0.51452,                 1.3542,                0.80275,                 1.0847,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.4821,                 0.9114,                 1.1727,                0.90954,                0.68041,                0.77542,                0.50446,                 1.3359,                0.79342,                 1.0927,               0.000467,               0.000467,               0.000467
                     71,                 1.5027,                0.90557,                  1.161,                0.85327,                0.70419,                0.77033,                0.51159,                 1.3381,                0.80042,                 1.0978,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.4573,                0.87208,                  1.133,                0.86451,                0.69996,                0.77387,                0.50686,                 1.3241,                0.78634,                 1.0902,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.4658,                0.88409,                 1.1494,                0.86992,                0.70759,                0.77883,                0.51515,                 1.3132,                0.77693,                 1.0847,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.4612,                0.87487,                 1.1242,                0.89513,                 0.6932,                0.78176,                 0.5141,                 1.3556,                0.78741,                  1.091,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.4518,                0.87605,                 1.1338,                 0.8704,                0.71764,                 0.7802,                0.51498,                 1.3248,                0.77733,                 1.0817,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.4404,                0.84544,                 1.0966,                0.89063,                0.69781,                0.77568,                0.51864,                 1.3306,                0.77267,                 1.0762,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.4639,                0.89902,                 1.1337,                0.91188,                0.69267,                0.77873,                0.50642,                 1.3328,                0.76606,                 1.0762,             0.00036797,             0.00036797,             0.00036797
                     78,                  1.473,                0.86962,                  1.127,                0.84201,                0.71334,                0.78121,                0.52521,                 1.3115,                0.76297,                 1.0681,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.4447,                0.87136,                 1.1443,                0.92791,                0.68576,                0.78158,                 0.5251,                 1.3029,                0.75712,                 1.0747,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.4581,                0.87718,                 1.1198,                0.91269,                0.69107,                0.78798,                0.52424,                 1.2965,                0.75881,                 1.0753,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.4237,                0.84192,                 1.1115,                0.91317,                0.69918,                0.78682,                0.53383,                 1.2948,                0.76591,                 1.0608,             0.00031138,             0.00031138,             0.00031138
                     82,                  1.427,                0.86036,                 1.1093,                0.87513,                0.71695,                0.78481,                0.53168,                 1.3159,                0.76604,                 1.0675,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.4108,                0.84879,                 1.1218,                0.89739,                0.70543,                0.78122,                0.52586,                 1.2888,                0.75479,                 1.0642,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.3934,                0.83376,                 1.1171,                0.89137,                0.71491,                0.78353,                0.52924,                 1.2691,                0.74326,                 1.0599,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.3912,                0.83273,                  1.111,                0.88162,                0.71715,                0.78209,                0.53054,                 1.2813,                0.74395,                 1.0612,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.4102,                0.83736,                 1.1047,                0.87933,                0.71325,                0.78514,                0.53577,                 1.2612,                0.74348,                 1.0493,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.4328,                0.85459,                 1.1138,                0.85939,                0.72597,                0.78783,                0.53286,                 1.2643,                0.74976,                 1.0534,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.3998,                0.84127,                 1.1132,                 0.8959,                0.70738,                0.78931,                  0.531,                 1.2969,                0.74655,                 1.0646,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.4098,                0.83422,                 1.1026,                0.88071,                0.72381,                0.78921,                 0.5362,                 1.2595,                0.74194,                 1.0437,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.3557,                0.80642,                 1.0842,                0.89358,                0.71325,                0.78745,                0.53713,                 1.2629,                0.73039,                 1.0534,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.3357,                 0.8168,                 1.0743,                0.87864,                0.71691,                0.78884,                0.53381,                  1.273,                0.76159,                 1.0416,             0.00016991,             0.00016991,             0.00016991
                     92,                 1.3309,                0.81211,                 1.0572,                0.84706,                0.72186,                0.78461,                0.53702,                 1.2502,                0.74862,                 1.0317,             0.00015576,             0.00015576,             0.00015576
                     93,                 1.3276,                0.81067,                 1.0786,                0.86628,                0.71134,                0.78385,                0.53547,                 1.2452,                0.73954,                 1.0299,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.3332,                0.79359,                 1.0627,                0.89406,                0.71051,                0.78589,                0.53276,                 1.2433,                0.74631,                 1.0258,             0.00012747,             0.00012747,             0.00012747
                     95,                 1.3132,                0.79557,                 1.0801,                 0.8827,                0.72653,                0.79281,                0.54036,                 1.2407,                0.74095,                 1.0274,             0.00011332,             0.00011332,             0.00011332
                     96,                 1.3092,                0.78729,                   1.07,                0.89528,                0.72265,                0.79155,                0.54537,                 1.2341,                0.73372,                 1.0272,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.3124,                0.78408,                 1.0573,                0.89096,                0.72286,                0.78965,                0.54078,                 1.2262,                0.73598,                  1.023,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 1.2863,                0.78439,                 1.0803,                0.89154,                0.71772,                0.79189,                 0.5442,                 1.2182,                0.72821,                 1.0239,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                  1.265,                0.76748,                 1.0746,                 0.8962,                0.71873,                0.79163,                0.54763,                 1.2176,                0.72477,                 1.0258,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 1.3224,                0.79038,                 1.0539,                0.89854,                0.71582,                0.79118,                 0.5463,                  1.227,                0.72757,                  1.021,             4.2584e-05,             4.2584e-05,             4.2584e-05
